id,name,Rating,Bedrooms,Bathroom,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,license Satuts,
3792844,Condo in Chicago ,5.0, 1 bedroom , 1 private bath,41.877,-87.63055,Private room,55,32,8,6/2/2023,0,1,276,4,R21000074087,  Register,
3809530,Rental unit in Chicago ,5.0, 1 bedroom , 1 bath,41.90173,-87.67359,Entire home/apt,257,32,102,10/11/2021,1,3,361,0,R17000015699,  Register,
3811926,Home in Chicago ,4.8, 1 bedroom , 1 shared bath,41.78392,-87.72921,Private room,39,1,487,8/27/2023,4,2,344,45,R17000014945,  Register,
3870522,Condo in Chicago ,4.8, 2 bedrooms , 1 bath,41.97351,-87.66574,Entire home/apt,200,4,52,6/26/2023,0,1,0,5,R21000063111,  Register,
3897045,Condo in Chicago ,4.6, 1 bedroom , 1 bath,41.89637,-87.62726,Entire home/apt,125,32,37,5/18/2022,0,3,315,0,City registration pending,Not Registers,
3924599,Rental unit in Chicago ,4.9, 1 bedroom , 1 shared bath,41.8198,-87.61423,Private room,133,5,8,9/16/2022,0,6,359,1,R22000081167,  Register,
3946324,Home in Chicago ,4.7, 1 bedroom , 1 shared bath,41.94306,-87.79432,Private room,95,5,30,8/22/2023,0,4,269,6,R22000090510,  Register,
3951336,Rental unit in Chicago ,0.0, 1 bed , 1 bath,41.89874,-87.61862,Entire home/apt,110,32,1,7/18/2021,0,1,0,0,City registration pending,Not Registers,
3953322,Home in Chicago ,4.8, 3 bedrooms , 2.5 baths,41.91374,-87.64014,Entire home/apt,198,1,181,7/24/2023,2,2,139,19,R21000070485,  Register,
3962072,Loft in Chicago ,4.8, 2 bedrooms , 1 bath,41.88503,-87.68664,Entire home/apt,136,32,125,9/5/2023,1,1,351,21,R22000092133,  Register,
3979385,Home in Chicago ,4.9, 2 bedrooms , 1 bath,41.95669,-87.64847,Entire home/apt,140,2,318,9/9/2023,3,1,176,22,R19000047696,  Register,
3979425,Condo in Chicago ,5.0, 1 bedroom , 2.5 baths,41.9011,-87.69184,Entire home/apt,135,32,3,7/17/2017,0,1,0,0,City registration pending,Not Registers,
4051574,Rental unit in Chicago ,4.7, 2 bedrooms , 1 private bath,41.9391,-87.64573,Private room,79,32,21,8/13/2018,0,2,0,0,City registration pending,Not Registers,
4051584,Rental unit in Chicago ,4.9, 2 bedrooms , 2 baths,41.94047,-87.64578,Entire home/apt,132,32,32,12/1/2019,0,2,0,0,City registration pending,Not Registers,
